num,episode4,epsilon4,sum4
0,909,1,560
100,852,0.95121753,552
200,999,0.90481479,676
300,999,0.86067569,646
400,999,0.818689804,721
500,999,0.778752093,714
600,735,0.740762643,533
700,524,0.704626412,370
800,847,0.670252995,604
900,999,0.637556399,753
1000,690,0.606454823,514
1100,727,0.576870459,555
1200,990,0.548729293,768
1300,999,0.521960923,811
1400,733,0.49649838,563
1500,999,0.472277963,804
1600,810,0.449239077,654
1700,999,0.427324086,834
1800,999,0.406478161,816
1900,464,0.386649153,363
2000,743,0.367787452,568
2100,999,0.349845872,847
2200,797,0.332779526,654
2300,999,0.316545719,835
2400,999,0.301103837,892
2500,999,0.286415248,816
2600,111,0.272443205,62
2700,832,0.259152753,737
2800,999,0.246510641,877
2900,999,0.234485243,884
3000,999,0.223046474,868
3100,837,0.212165716,742
3200,364,0.201815749,289
3300,578,0.191970678,494
3400,999,0.182605874,924
3500,999,0.173697909,916
3600,649,0.165224496,554
3700,999,0.157164437,950
3800,767,0.149497567,665
3900,999,0.142204707,870
4000,999,0.13526761,909
4100,114,0.128668922,51
4200,725,0.122392134,619
4300,189,0.116421543,112
4400,849,0.110742213,721
4500,999,0.105339934,956
4600,999,0.100201192,946
4700,453,0.095313131,370
4800,644,0.090663521,570
4900,501,0.08624073,401
5000,999,0.082033694,934
5100,331,0.078031888,253
5200,793,0.0742253,711
5300,671,0.070604407,613
5400,454,0.067160149,406
5500,999,0.063883911,878
5600,999,0.060767496,972
5700,999,0.057803108,935
5800,999,0.054983329,977
5900,999,0.052301107,977
6000,390,0.04974973,320
6100,995,0.047322815,921
6200,352,0.045014291,296
6300,999,0.042818383,985
6400,754,0.040729596,691
6500,177,0.038742706,120
6600,173,0.036852741,106
6700,999,0.035054973,953
6800,170,0.033344905,102
6900,999,0.031718258,949
7000,999,0.030170963,973
7100,999,0.03,944
7200,999,0.03,958
7300,999,0.03,984
7400,999,0.03,911
7500,392,0.03,295
7600,999,0.03,986
7700,999,0.03,966
7800,560,0.03,484
7900,999,0.03,982
8000,999,0.03,970
8100,999,0.03,999
8200,999,0.03,946
8300,999,0.03,993
8400,999,0.03,973
8500,999,0.03,944
8600,908,0.03,775
8700,999,0.03,964
8800,999,0.03,987
8900,999,0.03,982
9000,999,0.03,968
9100,999,0.03,1010
9200,999,0.03,957
9300,999,0.03,974
9400,999,0.03,1004
9500,999,0.03,978
9600,999,0.03,961
9700,999,0.03,973
9800,999,0.03,957
9900,999,0.03,929
